Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
Au-200m          2.96E-01 3.08E-01 3.17E-01 3.36E-01 3.46E-01 3.62E-01 5.79E-01 4.30E-01
Au-201           5.98E-03 6.09E-03 6.32E-03 6.62E-03 6.90E-03 7.43E-03 1.02E-02 7.63E-03
Au-202           3.23E-02 3.30E-02 3.54E-02 3.70E-02 4.03E-02 4.47E-02 5.09E-02 4.00E-02
Ba-124           8.53E-02 8.89E-02 9.12E-02 9.66E-02 9.96E-02 1.05E-01 1.64E-01 1.25E-01
Ba-126           8.76E-02 9.18E-02 9.36E-02 9.88E-02 1.02E-01 1.07E-01 1.66E-01 1.28E-01
Ba-127           1.11E-01 1.15E-01 1.19E-01 1.26E-01 1.30E-01 1.38E-01 2.10E-01 1.60E-01
Ba-128           6.84E-03 7.30E-03 7.64E-03 8.32E-03 8.56E-03 9.32E-03 1.84E-02 1.37E-02
Ba-129           4.86E-02 5.05E-02 5.21E-02 5.52E-02 5.68E-02 5.99E-02 9.51E-02 7.24E-02
Ba-129m          2.49E-01 2.60E-01 2.64E-01 2.78E-01 2.86E-01 3.01E-01 4.52E-01 3.53E-01
Ba-131           6.58E-02 6.87E-02 7.12E-02 7.59E-02 7.83E-02 8.23E-02 1.38E-01 1.01E-01
Ba-131m          7.50E-03 8.02E-03 8.54E-03 9.31E-03 9.96E-03 1.07E-02 2.12E-02 1.38E-02
Ba-133           5.30E-02 5.59E-02 5.80E-02 6.22E-02 6.39E-02 6.71E-02 1.19E-01 8.47E-02
Ba-133m          8.07E-03 8.57E-03 8.91E-03 9.63E-03 9.87E-03 1.06E-02 1.94E-02 1.41E-02
Ba-135m          6.97E-03 7.42E-03 7.72E-03 8.36E-03 8.58E-03 9.22E-03 1.71E-02 1.24E-02
Ba-137m          9.13E-02 9.41E-02 9.67E-02 1.02E-01 1.06E-01 1.11E-01 1.69E-01 1.31E-01
Ba-139           9.30E-03 9.13E-03 1.04E-02 1.09E-02 1.24E-02 1.48E-02 1.49E-02 1.00E-02
Ba-140           2.68E-02 2.77E-02 2.87E-02 3.05E-02 3.14E-02 3.30E-02 5.26E-02 3.92E-02
Ba-141           1.49E-01 1.55E-01 1.59E-01 1.68E-01 1.74E-01 1.84E-01 2.70E-01 2.06E-01
Ba-142           1.68E-01 1.77E-01 1.79E-01 1.88E-01 1.94E-01 2.03E-01 2.99E-01 2.36E-01
Be-10            4.35E-04 4.35E-04 4.30E-04 4.29E-04 4.30E-04 4.16E-04 9.11E-05 7.63E-05
Be-7             7.40E-03 7.66E-03 7.94E-03 8.44E-03 8.67E-03 9.05E-03 1.46E-02 1.08E-02
Bi-197           2.74E-01 2.86E-01 2.90E-01 3.04E-01 3.14E-01 3.30E-01 4.81E-01 3.82E-01
Bi-200           3.75E-01 3.92E-01 4.01E-01 4.24E-01 4.37E-01 4.58E-01 7.04E-01 5.38E-01
Bi-201           2.85E-01 2.98E-01 3.00E-01 3.14E-01 3.23E-01 3.40E-01 4.87E-01 3.93E-01
Bi-202           4.36E-01 4.55E-01 4.62E-01 4.87E-01 5.02E-01 5.26E-01 7.86E-01 6.15E-01
